ts_day,num_accounts,rewards_hnt,date
1603756800,"3,626","160,657",10/27/2020
1603843200,"3,629","175,498",10/28/2020
1603929600,"3,623","173,359",10/29/2020
1604016000,"3,650","172,162",10/30/2020
1604102400,"3,683","165,218",10/31/2020
1604188800,"3,698","166,604",11/1/2020
1604275200,"3,707","161,627",11/2/2020
1604361600,"3,720","161,727",11/3/2020
1604448000,"3,776","164,764",11/4/2020
1604534400,"3,798","164,764",11/5/2020
1604620800,"3,803","164,130",11/6/2020
1604707200,"3,820","162,843",11/7/2020
1604793600,"3,835","164,437",11/8/2020
1604880000,"3,851","159,796",11/9/2020
1604966400,"3,851","155,109",11/10/2020
1605052800,"3,859","172,588",11/11/2020
1605139200,"3,904","158,354",11/12/2020
1605225600,"3,927","151,845",11/13/2020
1605312000,"3,924","131,674",11/14/2020
1605398400,"3,923","133,849",11/15/2020
1605484800,"3,922","134,266",11/16/2020
1605571200,"3,922","131,002",11/17/2020
1605657600,"3,926","131,319",11/18/2020
1605744000,"3,939","131,891",11/19/2020
1605830400,"3,949","131,002",11/20/2020
1605916800,"3,978","133,623",11/21/2020
1606003200,"3,981","132,317",11/22/2020
1606089600,"3,990","138,292",11/23/2020
1606176000,"3,939","165,535",11/24/2020
1606262400,"3,993","158,282",11/25/2020
1606348800,"4,012","154,475",11/26/2020
1606435200,"4,028","160,567",11/27/2020
1606521600,"4,037","166,197",11/28/2020
1606608000,"4,045","155,463",11/29/2020
1606694400,"4,062","157,838",11/30/2020
1606780800,"4,073","165,525",12/1/2020
1606867200,"4,110","166,623",12/2/2020
1606953600,"4,110","175,843",12/3/2020
1607040000,"4,114","179,977",12/4/2020
1607126400,"4,125","177,465",12/5/2020
1607212800,"4,126","175,644",12/6/2020
1607299200,"4,142","177,611",12/7/2020
1607385600,"4,156","174,745",12/8/2020
1607472000,"4,156","173,558",12/9/2020
1607558400,"4,151","156,769",12/10/2020
1607644800,"4,177","171,618",12/11/2020
1607731200,"4,165","155,345",12/12/2020
1607817600,"4,177","169,542",12/13/2020
