,service_domain,quarter,num_nodes_final,total_rewards,total_rewards_dollar,total_rewards_dollar_fixed,total_relays,avg_stake,rewards_per_node_final,rewards_per_node_final_fixed,active
96,thunderstake.org,20232,1820.0,1819290.582321,69534.5414301136,54578.71746963,6045713046.0,27909.183460187538,13.361748929691315,10.487839636746733,1.0
97,tuku.dev,20232,7.0,10155.917999,381.67073605168093,304.67753997,15924370.0,60000.0,18.17479695484195,14.508454284285714,1.0
98,turelier.com,20232,2.0,1526.081763,59.81962127601496,45.782452889999995,3171890.0,47280.6997835101,9.969936879335828,7.630408814999999,0.0
99,uadevops.com,20232,4.0,8675.522734,331.21005043310913,260.26568202,13542682.0,59900.46449900465,27.600837536092428,21.688806834999998,1.0
100,uebeweb3.de,20232,,0.005052,0.00021387952473630147,0.00015156,31.0,,0.00021387952473630147,0.00015156,
101,ursamajor.eu,20232,1.0,204.158597,8.081699316851992,6.12475791,300757.0,59351.0634800618,2.6938997722839972,2.04158597,1.0
102,validatrium.com,20232,,362.739363,14.081144360957726,10.88218089,2246882.0,,4.693714786985908,3.6273936300000003,
103,vido.info,20232,1.0,1474.207482,55.89559267988599,44.22622446,2361867.0,60000.0,18.631864226628664,14.74207482,1.0
104,weaversnodes.org,20232,106.0,316209.242161,12051.457790788616,9486.27726483,507970228.0,60000.0,37.897666008769235,29.831060581226414,1.0
105,whiteholestake.io,20232,101.0,79305.110868,3035.0886562407427,2379.1533260399997,497076231.0,14998.565599897996,10.016794245018954,7.851991175049504,1.0
106,winskitech.com,20232,21.0,35196.399626,1317.153504194014,1055.89198878,54865447.0,59927.89594222909,20.907198479270065,16.76019029809524,1.0
107,yokto.net,20232,4.0,1258.371072,48.131318244935436,37.75113216,5393528.0,25000.0,4.010943187077953,3.14592768,1.0
108,zanshindojo.org,20232,,898.716756,33.133501894333605,26.96150268,1404878.0,,11.044500631444535,8.98716756,
109,zp-labs.net,20232,130.0,237284.850055,9060.56834364923,7118.54550165,370276948.0,59780.81085454701,23.65683640639486,18.58628068315927,1.0
110,zwenighirni.ch,20232,2.0,3625.440575,135.52620815347134,108.76321725,5638188.0,60000.0,22.58770135891189,18.127202875,1.0
0,aapokt.com,20233,29.0,15552.917058,438.6417621107172,466.58751173999997,30897411.0,56281.50066570233,14.62139207035724,15.552917057999998,0.0
1,apes.capital,20233,1.0,21.194797,0.6021036672449288,0.6358439100000001,163999.0,15000.0,0.3010518336224644,0.31792195500000003,1.0
2,bargsystems.com,20233,29.0,39572.348237,1134.3233523554013,1187.17044711,138012696.0,59934.44548872181,12.890038094947743,13.490573262613635,1.0
3,bignodeapp.com,20233,75.0,104497.156403,2995.096443711569,3134.91469209,374959074.0,60000.0,13.07902377166624,13.689583808253275,1.0
4,bitcat365.com,20233,1.0,54.665499999999994,1.5318402636486272,1.639965,135358.0,60000.0,0.5106134212162091,0.546655,1.0
5,blackholestake.io,20233,216.0,86126.494443,2457.77090039784,2583.79483329,1053265048.0,16183.300395256918,4.029132623603016,4.2357292349016396,1.0
6,blockspaces.global,20233,361.0,22373.005685,627.9967986244603,671.19017055,49486401.0,41396.882537316094,1.7541810017443027,1.8748328786312847,0.0
